ticker,signal_date,entry_date,entry,stop,target,planned_rr,entry_reason,exit_idx,exit_date,exit_reason,exit_price,r_achieved
AJBU.SI,2024-05-09 00:00:00+08:00,2024-05-10 00:00:00+08:00,1.6119947108621577,1.563634869536293,1.7087143935138873,2.0,Breakout,182,2024-05-13 00:00:00+08:00,Stop,1.563634869536293,-1.0
V03.SI,2024-05-10 00:00:00+08:00,2024-05-13 00:00:00+08:00,12.721219124915526,12.33958255116806,13.484492272410458,2.0,Breakout,201,2024-06-10 00:00:00+08:00,Stop,12.33958255116806,-1.0
BS6.SI,2024-05-13 00:00:00+08:00,2024-05-14 00:00:00+08:00,1.5709407329559326,1.5238125109672547,1.6860788401708235,2.4430819232380894,Pullback,190,2024-05-24 00:00:00+08:00,Target,1.6860788401708235,2.4430819232380894
AJBU.SI,2024-05-14 00:00:00+08:00,2024-05-15 00:00:00+08:00,1.5536009073257446,1.5069928801059722,1.6468169617652895,2.0,Pullback,196,2024-06-03 00:00:00+08:00,Target,1.6468169617652895,2.0
S63.SI,2024-05-14 00:00:00+08:00,2024-05-15 00:00:00+08:00,3.936929671764373,3.818821781611442,4.173145452070235,2.0,Breakout,197,2024-06-04 00:00:00+08:00,Stop,3.818821781611442,-1.0
H78.SI,2024-05-15 00:00:00+08:00,2024-05-16 00:00:00+08:00,3.147628114901988,3.053199271454928,3.336485801796108,2.0,Breakout,186,2024-05-17 00:00:00+08:00,Stop,3.053199271454928,-1.0
H78.SI,2024-05-20 00:00:00+08:00,2024-05-21 00:00:00+08:00,3.2295024610278733,3.132617387197037,3.423272608689546,2.0,Breakout,189,2024-05-23 00:00:00+08:00,Stop,3.132617387197037,-1.0
9CI.SI,2024-05-20 00:00:00+08:00,2024-05-21 00:00:00+08:00,2.598353385925293,2.5204027843475343,2.7542545890808103,2.0,Pullback,190,2024-05-24 00:00:00+08:00,Stop,2.5204027843475343,-1.0
S68.SI,2024-05-21 00:00:00+08:00,2024-05-23 00:00:00+08:00,9.095970490187746,8.823091375482113,9.641728719599012,2.0,Breakout,229,2024-07-19 00:00:00+08:00,Timeout,9.275932312011719,0.6594928381312941
Y92.SI,2024-05-21 00:00:00+08:00,2024-05-23 00:00:00+08:00,0.44656407833099365,0.4331671559810638,0.47782356919591806,2.333333735049089,Pullback,204,2024-06-13 00:00:00+08:00,Stop,0.4331671559810638,-1.0
Z74.SI,2024-05-23 00:00:00+08:00,2024-05-24 00:00:00+08:00,2.1959304809570312,2.141260196791563,2.332606741552756,2.5000100636399156,Pullback,202,2024-06-11 00:00:00+08:00,Target,2.332606741552756,2.5000100636399156
G13.SI,2024-05-23 00:00:00+08:00,2024-05-24 00:00:00+08:00,0.8169463276863098,0.7924379378557205,0.8659631073474885,2.0,Pullback,201,2024-06-10 00:00:00+08:00,Stop,0.7924379378557205,-1.0
H78.SI,2024-05-24 00:00:00+08:00,2024-05-27 00:00:00+08:00,3.074723482131958,2.9824817776679993,3.2592068910598755,2.0,Pullback,202,2024-06-11 00:00:00+08:00,Stop,2.9824817776679993,-1.0
BS6.SI,2024-05-27 00:00:00+08:00,2024-05-28 00:00:00+08:00,1.7567631786311504,1.7040602832722158,1.8621689693490195,2.0,Breakout,193,2024-05-29 00:00:00+08:00,Target,1.8621689693490195,2.0
9CI.SI,2024-05-27 00:00:00+08:00,2024-05-28 00:00:00+08:00,2.512378454208374,2.4370071005821226,2.663121161460877,2.0,Pullback,224,2024-07-12 00:00:00+08:00,Target,2.663121161460877,2.0
BS6.SI,2024-05-30 00:00:00+08:00,2024-05-31 00:00:00+08:00,2.0555938679611803,1.9939260519223447,2.1789295000388513,2.0,Breakout,200,2024-06-07 00:00:00+08:00,Target,2.1789295000388513,2.0
U11.SI,2024-06-04 00:00:00+08:00,2024-06-05 00:00:00+08:00,27.127640616839667,26.313811398334476,28.75529905385005,2.0,Breakout,221,2024-07-09 00:00:00+08:00,Target,28.75529905385005,2.0
AJBU.SI,2024-06-04 00:00:00+08:00,2024-06-05 00:00:00+08:00,1.6161020994186401,1.567619036436081,1.7130682253837586,2.0,Pullback,224,2024-07-12 00:00:00+08:00,Target,1.7130682253837586,2.0
BS6.SI,2024-06-10 00:00:00+08:00,2024-06-11 00:00:00+08:00,2.2638698723903015,2.1959537762185923,2.3997020647337197,2.0,Breakout,203,2024-06-12 00:00:00+08:00,Stop,2.1959537762185923,-1.0
Z74.SI,2024-06-12 00:00:00+08:00,2024-06-13 00:00:00+08:00,2.35788275684215,2.287146274136885,2.4993557222526794,2.0,Breakout,213,2024-06-27 00:00:00+08:00,Target,2.4993557222526794,2.0
BS6.SI,2024-06-13 00:00:00+08:00,2024-06-14 00:00:00+08:00,2.2638699157483475,2.195953818275897,2.3997021106932483,2.0,Breakout,206,2024-06-18 00:00:00+08:00,Stop,2.195953818275897,-1.0
BS6.SI,2024-06-19 00:00:00+08:00,2024-06-20 00:00:00+08:00,2.263869965779636,2.1959538668062466,2.3997021637264146,2.0,Breakout,215,2024-07-01 00:00:00+08:00,Stop,2.1959538668062466,-1.0
V03.SI,2024-06-24 00:00:00+08:00,2024-06-25 00:00:00+08:00,12.772373528895152,12.389202323028297,13.538715940628862,2.0,Breakout,238,2024-08-01 00:00:00+08:00,Target,13.538715940628862,2.0
S63.SI,2024-06-27 00:00:00+08:00,2024-06-28 00:00:00+08:00,4.098289531230926,3.9753408452939984,4.344186903104782,2.0,Breakout,217,2024-07-03 00:00:00+08:00,Stop,3.9753408452939984,-1.0
Z74.SI,2024-06-28 00:00:00+08:00,2024-07-01 00:00:00+08:00,2.540664318434138,2.464444388881114,2.693104177540187,2.0,Breakout,225,2024-07-15 00:00:00+08:00,Target,2.693104177540187,2.0
O39.SI,2024-06-28 00:00:00+08:00,2024-07-01 00:00:00+08:00,12.819653289449324,12.435063690765844,13.588832486816283,2.0,Breakout,240,2024-08-05 00:00:00+08:00,Stop,12.435063690765844,-1.0
D05.SI,2024-07-02 00:00:00+08:00,2024-07-03 00:00:00+08:00,32.796428741455074,31.81253587921142,34.76421446594238,2.0,Breakout,238,2024-08-01 00:00:00+08:00,Stop,31.81253587921142,-1.0
S63.SI,2024-07-04 00:00:00+08:00,2024-07-05 00:00:00+08:00,4.155078709452755,4.030426348169172,4.40438343201992,2.0,Breakout,220,2024-07-08 00:00:00+08:00,Stop,4.030426348169172,-1.0
C38U.SI,2024-07-04 00:00:00+08:00,2024-07-05 00:00:00+08:00,1.7746621439447021,1.721422279626361,1.8811418725813844,2.0,Breakout,238,2024-08-01 00:00:00+08:00,Target,1.8811418725813844,2.0
C6L.SI,2024-07-08 00:00:00+08:00,2024-07-09 00:00:00+08:00,6.195537164136658,6.009671049212558,6.5672693939848585,2.0,Breakout,238,2024-08-01 00:00:00+08:00,Stop,6.009671049212558,-1.0
S63.SI,2024-07-09 00:00:00+08:00,2024-07-10 00:00:00+08:00,4.155078709452755,4.030426348169172,4.40438343201992,2.0,Breakout,240,2024-08-05 00:00:00+08:00,Stop,4.030426348169172,-1.0
U11.SI,2024-07-10 00:00:00+08:00,2024-07-11 00:00:00+08:00,29.03902566540561,28.16785489544344,30.78136720532995,2.0,Breakout,234,2024-07-26 00:00:00+08:00,Stop,28.16785489544344,-1.0
9CI.SI,2024-07-15 00:00:00+08:00,2024-07-16 00:00:00+08:00,2.6365644931793213,2.5574675583839417,2.7947583627700805,2.0,Pullback,233,2024-07-25 00:00:00+08:00,Stop,2.5574675583839417,-1.0
N2IU.SI,2024-07-15 00:00:00+08:00,2024-07-16 00:00:00+08:00,1.1593092679977417,1.1245299899578094,1.2288678240776063,2.0,Trend-continuation,233,2024-07-25 00:00:00+08:00,Stop,1.1245299899578094,-1.0
AJBU.SI,2024-07-15 00:00:00+08:00,2024-07-16 00:00:00+08:00,1.7411044836044312,1.688871349096298,1.8455707526206973,2.0,Trend-continuation,238,2024-08-01 00:00:00+08:00,Target,1.8455707526206973,2.0
H78.SI,2024-07-15 00:00:00+08:00,2024-07-16 00:00:00+08:00,3.0656535625457764,2.973683955669403,3.249592776298523,2.0,Pullback,237,2024-07-31 00:00:00+08:00,Stop,2.973683955669403,-1.0
Z74.SI,2024-07-16 00:00:00+08:00,2024-07-17 00:00:00+08:00,2.7965586170767978,2.712661858564494,2.9643521341014054,2.0,Breakout,228,2024-07-18 00:00:00+08:00,Stop,2.712661858564494,-1.0
A17U.SI,2024-07-17 00:00:00+08:00,2024-07-18 00:00:00+08:00,2.3886500457509467,2.3169905443784184,2.5319690484960033,2.0,Breakout,232,2024-07-24 00:00:00+08:00,Stop,2.3169905443784184,-1.0
ME8U.SI,2024-07-18 00:00:00+08:00,2024-07-19 00:00:00+08:00,2.0313454089338916,1.9704050466658747,2.1532261334699254,2.0,Breakout,232,2024-07-24 00:00:00+08:00,Stop,1.9704050466658747,-1.0
Z74.SI,2024-07-19 00:00:00+08:00,2024-07-22 00:00:00+08:00,2.751746892929077,2.6691944861412047,2.916851706504822,2.0,Pullback,238,2024-08-01 00:00:00+08:00,Stop,2.6691944861412047,-1.0
S68.SI,2024-07-22 00:00:00+08:00,2024-07-23 00:00:00+08:00,9.370419304222054,9.089306725095392,9.932644462475377,2.0,Breakout,241,2024-08-06 00:00:00+08:00,Stop,9.089306725095392,-1.0
Y92.SI,2024-07-23 00:00:00+08:00,2024-07-24 00:00:00+08:00,0.45600512623786926,0.44232497245073316,0.4833654338121415,2.0,Trend-continuation,240,2024-08-05 00:00:00+08:00,Stop,0.44232497245073316,-1.0
A17U.SI,2024-07-25 00:00:00+08:00,2024-07-26 00:00:00+08:00,2.294905662536621,2.2260584926605222,2.432600002288819,2.0,Pullback,248,2024-08-16 00:00:00+08:00,Target,2.432600002288819,2.0
ME8U.SI,2024-07-25 00:00:00+08:00,2024-07-26 00:00:00+08:00,1.9644246101379395,1.9054918718338012,2.082290086746216,2.0,Pullback,249,2024-08-19 00:00:00+08:00,Target,2.082290086746216,2.0
BS6.SI,2024-07-26 00:00:00+08:00,2024-07-29 00:00:00+08:00,2.3815913228622194,2.3101435831763526,2.524486802233953,2.0,Breakout,239,2024-08-02 00:00:00+08:00,Stop,2.3101435831763526,-1.0
AJBU.SI,2024-08-02 00:00:00+08:00,2024-08-05 00:00:00+08:00,1.9126842335373961,1.8553037065312743,2.02744528754964,2.0,Breakout,241,2024-08-06 00:00:00+08:00,Stop,1.8553037065312743,-1.0
V03.SI,2024-08-02 00:00:00+08:00,2024-08-05 00:00:00+08:00,13.402982711791992,13.09978809209712,14.009371951181738,2.0,Pullback,241,2024-08-06 00:00:00+08:00,Stop,13.09978809209712,-1.0
C38U.SI,2024-08-02 00:00:00+08:00,2024-08-05 00:00:00+08:00,1.9070996755202105,1.849886685254604,2.0215256560514234,2.0,Breakout,241,2024-08-06 00:00:00+08:00,Stop,1.849886685254604,-1.0
AJBU.SI,2024-08-07 00:00:00+08:00,2024-08-08 00:00:00+08:00,1.9126842335373961,1.8553037065312743,2.02744528754964,2.0,Breakout,244,2024-08-12 00:00:00+08:00,Stop,1.8553037065312743,-1.0
S68.SI,2024-08-13 00:00:00+08:00,2024-08-14 00:00:00+08:00,9.503738169670104,9.21862602458,10.07396245985031,2.0,Breakout,252,2024-08-22 00:00:00+08:00,Target,10.07396245985031,2.0
BS6.SI,2024-08-13 00:00:00+08:00,2024-08-14 00:00:00+08:00,2.490256961844519,2.4155492529891833,2.639672379555191,2.0,Breakout,247,2024-08-15 00:00:00+08:00,Stop,2.4155492529891833,-1.0
AJBU.SI,2024-08-13 00:00:00+08:00,2024-08-14 00:00:00+08:00,1.9126842335373961,1.8553037065312743,2.02744528754964,2.0,Breakout,247,2024-08-15 00:00:00+08:00,Stop,1.8553037065312743,-1.0
H78.SI,2024-08-14 00:00:00+08:00,2024-08-15 00:00:00+08:00,3.120073080062866,3.02647088766098,3.3072774648666385,2.0,Pullback,254,2024-08-26 00:00:00+08:00,Target,3.3072774648666385,2.0
C38U.SI,2024-08-14 00:00:00+08:00,2024-08-15 00:00:00+08:00,1.9070996755202105,1.849886685254604,2.0215256560514234,2.0,Breakout,248,2024-08-16 00:00:00+08:00,Stop,1.849886685254604,-1.0
BS6.SI,2024-08-16 00:00:00+08:00,2024-08-19 00:00:00+08:00,2.3202974796295166,2.250688555240631,2.482808536235812,2.3346296187309514,Pullback,254,2024-08-26 00:00:00+08:00,Stop,2.250688555240631,-1.0
S63.SI,2024-08-19 00:00:00+08:00,2024-08-20 00:00:00+08:00,4.37277036439504,4.241587253463189,4.635136586258743,2.0,Breakout,252,2024-08-22 00:00:00+08:00,Stop,4.241587253463189,-1.0
A17U.SI,2024-08-19 00:00:00+08:00,2024-08-20 00:00:00+08:00,2.4749921310703917,2.40074236713828,2.6234916589346153,2.0,Breakout,270,2024-09-17 00:00:00+08:00,Target,2.6234916589346153,2.0
C38U.SI,2024-08-19 00:00:00+08:00,2024-08-20 00:00:00+08:00,1.9070996755202105,1.849886685254604,2.0215256560514234,2.0,Breakout,261,2024-09-04 00:00:00+08:00,Stop,1.849886685254604,-1.0
ME8U.SI,2024-08-20 00:00:00+08:00,2024-08-21 00:00:00+08:00,2.0973613045729707,2.0344404654357815,2.223202982847349,2.0,Breakout,263,2024-09-06 00:00:00+08:00,Target,2.223202982847349,2.0
N2IU.SI,2024-08-21 00:00:00+08:00,2024-08-22 00:00:00+08:00,1.152119517326355,1.1175559318065642,1.2212466883659365,2.0,Pullback,254,2024-08-26 00:00:00+08:00,Target,1.2212466883659365,2.0
O39.SI,2024-08-23 00:00:00+08:00,2024-08-26 00:00:00+08:00,13.008203506469727,12.617957401275634,13.788695716857912,2.0,Pullback,265,2024-09-10 00:00:00+08:00,Target,13.788695716857912,2.0
S68.SI,2024-08-23 00:00:00+08:00,2024-08-26 00:00:00+08:00,10.17033329963684,9.865223300647735,10.780553297615048,2.0,Breakout,266,2024-09-11 00:00:00+08:00,Target,10.780553297615048,2.0
S63.SI,2024-08-23 00:00:00+08:00,2024-08-26 00:00:00+08:00,4.37277078490195,4.241587661354891,4.635137031996067,2.0,Breakout,255,2024-08-27 00:00:00+08:00,Stop,4.241587661354891,-1.0
Y92.SI,2024-08-26 00:00:00+08:00,2024-08-27 00:00:00+08:00,0.45600512623786926,0.44232497245073316,0.4833654338121415,2.0,Pullback,256,2024-08-28 00:00:00+08:00,Target,0.4833654338121415,2.0
AJBU.SI,2024-08-26 00:00:00+08:00,2024-08-27 00:00:00+08:00,1.976745291863711,1.9174429331077996,2.095350009375534,2.0000000000000036,Breakout,258,2024-08-30 00:00:00+08:00,Stop,1.9174429331077996,-1.0
D05.SI,2024-08-26 00:00:00+08:00,2024-08-27 00:00:00+08:00,32.06161880493164,31.09977024078369,33.98531593322754,2.0,Pullback,267,2024-09-12 00:00:00+08:00,Target,33.98531593322754,2.0
F34.SI,2024-08-26 00:00:00+08:00,2024-08-27 00:00:00+08:00,2.926646349225302,2.8388469587485425,3.1022451301788205,2.0,Breakout,261,2024-09-04 00:00:00+08:00,Stop,2.8388469587485425,-1.0
M44U.SI,2024-08-26 00:00:00+08:00,2024-08-27 00:00:00+08:00,1.205197811126709,1.1690418767929076,1.2775096797943117,2.0,Pullback,264,2024-09-09 00:00:00+08:00,Target,1.2775096797943117,2.0
N2IU.SI,2024-08-27 00:00:00+08:00,2024-08-28 00:00:00+08:00,1.1964316368103027,1.1605386877059936,1.268217535018921,2.0,Pullback,266,2024-09-11 00:00:00+08:00,Target,1.268217535018921,2.0
U11.SI,2024-08-27 00:00:00+08:00,2024-08-28 00:00:00+08:00,27.94489288330078,27.106546096801758,29.62158645629883,2.0,Pullback,273,2024-09-20 00:00:00+08:00,Target,29.62158645629883,2.0
H78.SI,2024-08-27 00:00:00+08:00,2024-08-28 00:00:00+08:00,3.385261058807373,3.283703227043152,3.5883767223358154,2.0,Trend-continuation,261,2024-09-04 00:00:00+08:00,Stop,3.283703227043152,-1.0
S63.SI,2024-08-28 00:00:00+08:00,2024-08-29 00:00:00+08:00,4.2459516525268555,4.11857310295105,4.5007087516784665,2.0,Pullback,272,2024-09-19 00:00:00+08:00,Target,4.5007087516784665,2.0
Z74.SI,2024-08-30 00:00:00+08:00,2024-09-02 00:00:00+08:00,2.860532084703445,2.7747161221623418,3.032164009785652,2.0,Breakout,270,2024-09-17 00:00:00+08:00,Target,3.032164009785652,2.0
Y92.SI,2024-09-02 00:00:00+08:00,2024-09-03 00:00:00+08:00,0.4695498049259186,0.455463310778141,0.4977227932214737,2.0,Pullback,300,2024-10-29 00:00:00+08:00,Timeout,0.4740647077560425,0.3205128815416587
